line_label,task_name,status,completed_samples,expected_samples,parsed_count,category,reason,log_path
MiniMax-S,unimoral_moral_typology,complete_parse_gap,3492,3492,2614,format/parsing,only 2614/3492 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T20-33-59-00-00_unimoral-moral-typology_NTpqfinmZghvrc3zP2X4Qt.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T22-40-32-00-00_unimoral-moral-typology_G6TxLCEZH5pNUs9NkQmBQ8.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T22-48-42-00-00_unimoral-moral-typology_mgRDTVSq3w5ZTwR5aj28wo.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T22-57-12-00-00_unimoral-moral-typology_hsgqLmoyyG3W2DZWXjtnkQ.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-05-45-00-00_unimoral-moral-typology_3XQCqhDpMUiGJHWM34VgUJ.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-14-37-00-00_unimoral-moral-typology_BKKT8tDgLqpYNty6zNPRiP.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-23-11-00-00_unimoral-moral-typology_Wa9TZEfPmGuria9zu7F6K4.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-31-38-00-00_unimoral-moral-typology_FyMN9o5SuUkz4rmSuAoqVR.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-40-39-00-00_unimoral-moral-typology_G3dXWM4P56LmrrzjPziTmm.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T23-49-28-00-00_unimoral-moral-typology_5tvy3ZtC8CmTbetnMobKjJ.eval
MiniMax-S,unimoral_factor_attribution,complete_parse_gap,3492,3492,209,format/parsing,only 209/3492 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T20-59-56-00-00_unimoral-factor-attribution_LohCGF6k95WyeiaSBsxbRr.eval
MiniMax-S,unimoral_consequence_generation,complete_parse_gap,1782,1782,795,format/parsing,only 795/1782 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/minimax_s/2026-05-16T21-15-57-00-00_unimoral-consequence-generation_mqrVaLJDS6qTagmMomxmWB.eval
MiniMax-M,unimoral_moral_typology,complete_parse_gap,3492,3492,1715,format/parsing,only 1715/3492 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T20-47-10-00-00_unimoral-moral-typology_7mNJKv47T2aJH85PguGtWJ.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T22-40-33-00-00_unimoral-moral-typology_bZiqzZNCW8kVNAfp2g2jHn.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T22-52-10-00-00_unimoral-moral-typology_UufjwHLHzQUawCERb9xMab.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T23-05-22-00-00_unimoral-moral-typology_h3ckvWehyaNYicJxnQqNzG.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T23-18-36-00-00_unimoral-moral-typology_SsxcbmjoS2eufzu8XG69wE.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T23-31-51-00-00_unimoral-moral-typology_YS35YmcrVmLJX3UmCSDGdK.eval
MiniMax-M,unimoral_factor_attribution,partial,148,3492,43,api/runtime,provider run stalled or was interrupted after saving 148/3492 samples,results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T22-05-04-00-00_unimoral-factor-attribution_inAmgZpnVYk6MjmZAaYq34.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_m/2026-05-16T22-28-50-00-00_unimoral-factor-attribution_o4uuzRVnPbwKD8PWoXdtoW.eval
MiniMax-M,unimoral_consequence_generation,missing,0,1782,0,runtime,no usable eval log completed,
MiniMax-L,unimoral_moral_typology,partial,3428,3492,319,api/runtime,provider run stalled or was interrupted after saving 3428/3492 samples,results/inspect/logs/2026-05-16-unimoral-full/minimax_l/2026-05-16T21-24-40-00-00_unimoral-moral-typology_arF63m55FEqJV7VCTsMwx3.eval;results/inspect/logs/2026-05-16-unimoral-full/minimax_l/2026-05-16T22-28-50-00-00_unimoral-moral-typology_9bC6Z6NZBZHRQZHVt2sYfs.eval
MiniMax-L,unimoral_factor_attribution,missing,0,3492,0,runtime,no usable eval log completed,
MiniMax-L,unimoral_consequence_generation,missing,0,1782,0,runtime,no usable eval log completed,
DeepSeek-S,unimoral_factor_attribution,complete_parse_gap,3492,3492,2,format/parsing,only 2/3492 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/deepseek_s/2026-05-16T21-03-12-00-00_unimoral-factor-attribution_L28248mJAq7TGApd7nAXNg.eval
DeepSeek-S,unimoral_consequence_generation,complete_parse_gap,1782,1782,1585,format/parsing,only 1585/1782 samples had a parseable visible answer,results/inspect/logs/2026-05-16-unimoral-full/deepseek_s/2026-05-16T21-23-04-00-00_unimoral-consequence-generation_hnmosDkQbFhJa7yQTVdrsz.eval
DeepSeek-M,unimoral_consequence_generation,complete_with_interrupted_logs,1782,1782,1779,runtime,full sample coverage exists only across interrupted logs,results/inspect/logs/2026-05-16-unimoral-full/deepseek_m/2026-05-16T21-52-30-00-00_unimoral-consequence-generation_WBwrqzQjqK4mZudxfzqzyc.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_m/2026-05-16T22-28-50-00-00_unimoral-consequence-generation_DhULnBkGodGwsSRg4PHKwD.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_m/2026-05-16T22-40-32-00-00_unimoral-consequence-generation_burDAhYEReJrHgYZUAd8Jf.eval
DeepSeek-L,unimoral_moral_typology,partial,540,3492,538,api/runtime,provider run stalled or was interrupted after saving 540/3492 samples,results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-16T22-00-20-00-00_unimoral-moral-typology_BHoYs4Zc8VixZa8sdRDKoE.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-16T22-28-50-00-00_unimoral-moral-typology_YscRjAMfCfTaz5R6hF6vF4.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-16T22-53-33-00-00_unimoral-moral-typology_Ywu2txkBQHoAe2uJfB7ruM.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-16T23-38-40-00-00_unimoral-moral-typology_fAMAwiZ4QbXX2e3JPBN5gu.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-16T23-47-09-00-00_unimoral-moral-typology_o7yBTKE36tkKhYADtfXopN.eval;results/inspect/logs/2026-05-16-unimoral-full/deepseek_l/2026-05-17T00-00-21-00-00_unimoral-moral-typology_oR6YCUpBtMsBvBdHLWmo9L.eval
DeepSeek-L,unimoral_factor_attribution,missing,0,3492,0,runtime,no usable eval log completed,
DeepSeek-L,unimoral_consequence_generation,missing,0,1782,0,runtime,no usable eval log completed,
