benchmark,paper_model_or_evidence,paper_result_anchor,our_matching_or_closest_line,our_result_anchor,overlap_status,what_to_compare
UniMoral,Phi-3.5-mini Instruct,Best RQ1 table cell: 66.38 weighted F1,No exact current public row,n/a,Not run in this release,Run full paper-style UniMoral tasks if exact replication is needed.
UniMoral,Llama-3.1-8B Instruct,RQ2/RQ3/RQ4 paper tables include this model,Saved/prior Llama 3.1 8B action-only follow-up,UniMoral action accuracy 0.639 in the May 13 exploratory sweep,"Saved/prior evidence, not a fresh full RQ1-RQ4 replication",Use only for action-prediction capability-floor context.
UniMoral,DeepSeek-R1-Distill-Llama-8B,Paper table model,DeepSeek-S,DeepSeek-S action accuracy 0.661,Not exact model; context only; not plotted in the same-model calibration bridge,Do not call it exact replication.
SMID,Human norming sample,"2,716 participants and 820,565 ratings","Qwen-L, MiniMax-S/L, Gemma S/M/L, Llama S/L vision rows",Best SMID average accuracy is Qwen-L 0.483,No paper model overlap,"Compare model rows to human-norm labels, not to a paper model leaderboard."
Value Kaleidoscope / ValuePrism,Kaleido 60M/220M/770M/3B/11B,KAL SYS 11B overall win rate 58.3 vs GPT-4,No Kaleido model row,Best current prompt-based Value average is MiniMax-L 0.741,Model-access gap,"Current rows are prompt-based relevance/valence classification, not Kaleido generation/evaluation."
Value Kaleidoscope / ValuePrism,GPT-4 / GPT-3.5-turbo paper baselines,GPT-4 valence correctness 93.1; GPT-3.5 overall win rate 39.5 vs GPT-4,OpenAI text refs,GPT-5 mini Value average 0.739; GPT-4.1-mini Ref 0.735; GPT-4o-mini Ref 0.701,"Reference family only, not exact paper models; not plotted in the same-model calibration bridge","Use as current OpenAI context markers, not paper-baseline replication."
CCD-Bench,AI21 Jamba-1.6-large,top Nordic Europe 14.7%; Germanic Europe 12.9%; plural rationales 82.6%; Cramer's V 0.106,No current row,n/a,Not run in this release,Add a matching route before making a paper-model replication claim.
CCD-Bench,Claude 3.7 Sonnet,top Nordic Europe 21.9%; Germanic Europe 14.9%; plural rationales 90.8%; Cramer's V 0.061,No current row,n/a,Not run in this release,Add a matching route before making a paper-model replication claim.
CCD-Bench,Claude 4 Sonnet,top Nordic Europe 30.6%; Germanic Europe 15.9%; plural rationales 98.6%; Cramer's V 0.054,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 30.2475%; effective clusters 6.041",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge, not accuracy."
CCD-Bench,Command-R 08-2024,top Nordic Europe 16.1%; Germanic Europe 10.2%; plural rationales 78.5%; Cramer's V 0.142,Fresh exact CCD rerun,"2,182/2,182 valid choices; option_6 Nordic Europe 22.6856%; effective clusters 7.844",Exact same-model fresh rerun evidence,"Use as a CCD distribution bridge, not accuracy."
