line_label,family,size_slot,route,benchmark,metric,value_average_accuracy,result_status,reader_note
Qwen-S,Qwen,S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,Value Kaleidoscope,average_accuracy,0.682406,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Qwen-M,Qwen,M,text: openrouter/qwen/qwen3-14b,Value Kaleidoscope,average_accuracy,0.674714,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Qwen-L,Qwen,L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,Value Kaleidoscope,average_accuracy,0.653159,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
MiniMax-S,MiniMax,S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,Value Kaleidoscope,average_accuracy,0.739942,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
MiniMax-M,MiniMax,M,text: minimax-m2.5 via direct MiniMax API clean run; medium SMID route TBD,Value Kaleidoscope,average_accuracy,0.739778,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
MiniMax-L,MiniMax,L,text: minimax-m2.5 via direct MiniMax API; SMID recovery: minimax-01 via direct MiniMax API,Value Kaleidoscope,average_accuracy,0.741197,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
DeepSeek-S,DeepSeek,S,text: openrouter/deepseek/deepseek-r1-distill-llama-70b (DeepInfra-pinned recovery route),Value Kaleidoscope,average_accuracy,0.695198,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
DeepSeek-M,DeepSeek,M,openrouter/deepseek/deepseek-chat-v3.1,Value Kaleidoscope,average_accuracy,0.634673,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
DeepSeek-L,DeepSeek,L,text: openrouter/deepseek/deepseek-r1,Value Kaleidoscope,average_accuracy,0.680658,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Llama-S,Llama,S,openrouter/meta-llama/llama-3.2-11b-vision-instruct,Value Kaleidoscope,average_accuracy,0.528583,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Llama-M,Llama,M,text: openrouter/meta-llama/llama-3.3-70b-instruct,Value Kaleidoscope,average_accuracy,0.723638,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Llama-L,Llama,L,text: openrouter/meta-llama/llama-4-maverick; vision: openrouter/meta-llama/llama-4-maverick,Value Kaleidoscope,average_accuracy,0.692319,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Gemma-S,Gemma,S,openrouter/google/gemma-3-4b-it,Value Kaleidoscope,average_accuracy,0.592663,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Gemma-M,Gemma,M,text: openrouter/google/gemma-3-12b-it; vision: openrouter/google/gemma-3-12b-it,Value Kaleidoscope,average_accuracy,0.663656,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
Gemma-L,Gemma,L,text: openrouter/google/gemma-3-27b-it; vision: openrouter/google/gemma-3-27b-it,Value Kaleidoscope,average_accuracy,0.655987,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-4o-mini Ref,OpenAI Ref,Ref,openai/gpt-4o-mini (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.700698,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-5 nano,OpenAI GPT-5,S,openai/gpt-5-nano (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.617193,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-4.1-nano Ref,OpenAI Ref,Ref,openai/gpt-4.1-nano (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.673043,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-5 mini,OpenAI GPT-5,M,openai/gpt-5-mini (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.738897,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-5.5,OpenAI GPT-5,L,openai/gpt-5.5 (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.735646,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
GPT-4.1-mini Ref,OpenAI Ref,Ref,openai/gpt-4.1-mini (Responses API + Batch API; text-only reference),Value Kaleidoscope,average_accuracy,0.734890,complete,Average of prompt-based ValuePrism relevance and valence accuracy; this is not Kaleido model replication.
