line_label,family,size_slot,route,benchmark,metric,smid_average_accuracy,result_status,reader_note
Qwen-S,Qwen,S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,SMID,average_accuracy,0.368072,complete,Average of moral-rating prediction and foundation-classification accuracy.
Qwen-M,Qwen,M,text: openrouter/qwen/qwen3-14b,SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
Qwen-L,Qwen,L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,SMID,average_accuracy,0.482829,complete,Average of moral-rating prediction and foundation-classification accuracy.
MiniMax-S,MiniMax,S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,SMID,average_accuracy,0.431996,complete,Average of moral-rating prediction and foundation-classification accuracy.
MiniMax-M,MiniMax,M,text: minimax-m2.5 via direct MiniMax API clean run; medium SMID route TBD,SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
MiniMax-L,MiniMax,L,text: minimax-m2.5 via direct MiniMax API; SMID recovery: minimax-01 via direct MiniMax API,SMID,average_accuracy,0.198232,complete,Average of moral-rating prediction and foundation-classification accuracy.
DeepSeek-S,DeepSeek,S,text: openrouter/deepseek/deepseek-r1-distill-llama-70b (DeepInfra-pinned recovery route),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
DeepSeek-M,DeepSeek,M,openrouter/deepseek/deepseek-chat-v3.1,SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
DeepSeek-L,DeepSeek,L,text: openrouter/deepseek/deepseek-r1,SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
Llama-S,Llama,S,openrouter/meta-llama/llama-3.2-11b-vision-instruct,SMID,average_accuracy,0.216423,complete,Average of moral-rating prediction and foundation-classification accuracy.
Llama-M,Llama,M,text: openrouter/meta-llama/llama-3.3-70b-instruct,SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
Llama-L,Llama,L,text: openrouter/meta-llama/llama-4-maverick; vision: openrouter/meta-llama/llama-4-maverick,SMID,average_accuracy,0.386093,complete,Average of moral-rating prediction and foundation-classification accuracy.
Gemma-S,Gemma,S,openrouter/google/gemma-3-4b-it,SMID,average_accuracy,0.416865,complete,Average of moral-rating prediction and foundation-classification accuracy.
Gemma-M,Gemma,M,text: openrouter/google/gemma-3-12b-it; vision: openrouter/google/gemma-3-12b-it,SMID,average_accuracy,0.363652,complete,Average of moral-rating prediction and foundation-classification accuracy.
Gemma-L,Gemma,L,text: openrouter/google/gemma-3-27b-it; vision: openrouter/google/gemma-3-27b-it,SMID,average_accuracy,0.412275,complete,Average of moral-rating prediction and foundation-classification accuracy.
GPT-4o-mini Ref,OpenAI Ref,Ref,openai/gpt-4o-mini (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
GPT-5 nano,OpenAI GPT-5,S,openai/gpt-5-nano (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
GPT-4.1-nano Ref,OpenAI Ref,Ref,openai/gpt-4.1-nano (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
GPT-5 mini,OpenAI GPT-5,M,openai/gpt-5-mini (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
GPT-5.5,OpenAI GPT-5,L,openai/gpt-5.5 (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
GPT-4.1-mini Ref,OpenAI Ref,Ref,openai/gpt-4.1-mini (Responses API + Batch API; text-only reference),SMID,average_accuracy,,route_gap,"No public vision-capable SMID route for this line in the current release; this is a route gap, not a failed score."
