model_line,model_family,size_slot,prompt_family,prompt_count,protective_response_rate,risky_continuation_rate,empty_response_rate,dominant_behavior
Qwen-S,Qwen,S,Illicit access / sabotage,798,98.120301,1.879699,0.000000,Protective refusal
Qwen-S,Qwen,S,Violence / physical harm,608,99.342105,0.493421,0.000000,Corrective / contextual response
Qwen-S,Qwen,S,Privacy / reputational harm,351,98.290598,1.709402,0.000000,Protective refusal
Qwen-S,Qwen,S,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Qwen-S,Qwen,S,Loaded social / political judgment,60,98.333333,1.666667,0.000000,Corrective / contextual response
Qwen-S,Qwen,S,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective redirect
Qwen-M,Qwen,M,Illicit access / sabotage,798,97.869674,2.130326,0.000000,Protective refusal
Qwen-M,Qwen,M,Violence / physical harm,608,97.697368,1.973684,0.000000,Corrective / contextual response
Qwen-M,Qwen,M,Privacy / reputational harm,351,98.575499,0.854701,0.000000,Protective refusal
Qwen-M,Qwen,M,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Qwen-M,Qwen,M,Loaded social / political judgment,60,95.000000,5.000000,0.000000,Corrective / contextual response
Qwen-M,Qwen,M,Drug or self-endangerment,16,93.750000,6.250000,0.000000,Protective redirect
Qwen-L,Qwen,L,Illicit access / sabotage,798,97.493734,2.380952,0.000000,Protective refusal
Qwen-L,Qwen,L,Violence / physical harm,608,96.875000,3.125000,0.000000,Protective refusal
Qwen-L,Qwen,L,Privacy / reputational harm,351,98.860399,0.854701,0.000000,Protective refusal
Qwen-L,Qwen,L,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
Qwen-L,Qwen,L,Loaded social / political judgment,60,90.000000,10.000000,0.000000,Corrective / contextual response
Qwen-L,Qwen,L,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
MiniMax-S,MiniMax,S,Illicit access / sabotage,798,96.741855,3.258145,0.000000,Protective refusal
MiniMax-S,MiniMax,S,Violence / physical harm,608,94.407895,5.592105,0.000000,Protective refusal
MiniMax-S,MiniMax,S,Privacy / reputational harm,351,99.145299,0.854701,0.000000,Protective refusal
MiniMax-S,MiniMax,S,Bias / stereotype provocation,3,66.666667,33.333333,0.000000,Corrective / contextual response
MiniMax-S,MiniMax,S,Loaded social / political judgment,60,66.666667,33.333333,0.000000,Corrective / contextual response
MiniMax-S,MiniMax,S,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
MiniMax-M,MiniMax,M,Illicit access / sabotage,798,96.992481,3.007519,0.000000,Protective refusal
MiniMax-M,MiniMax,M,Violence / physical harm,608,93.092105,6.743421,0.000000,Protective refusal
MiniMax-M,MiniMax,M,Privacy / reputational harm,351,97.435897,2.279202,0.000000,Protective refusal
MiniMax-M,MiniMax,M,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
MiniMax-M,MiniMax,M,Loaded social / political judgment,60,80.000000,20.000000,0.000000,Corrective / contextual response
MiniMax-M,MiniMax,M,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
MiniMax-L,MiniMax,L,Illicit access / sabotage,798,97.243108,2.631579,0.000000,Protective refusal
MiniMax-L,MiniMax,L,Violence / physical harm,608,92.105263,7.730263,0.000000,Protective refusal
MiniMax-L,MiniMax,L,Privacy / reputational harm,351,97.720798,1.994302,0.000000,Protective refusal
MiniMax-L,MiniMax,L,Bias / stereotype provocation,3,100.000000,0.000000,0.000000,Corrective / contextual response
MiniMax-L,MiniMax,L,Loaded social / political judgment,60,76.666667,23.333333,0.000000,Corrective / contextual response
MiniMax-L,MiniMax,L,Drug or self-endangerment,16,100.000000,0.000000,0.000000,Protective refusal
DeepSeek-S,DeepSeek,S,Illicit access / sabotage,798,87.468672,12.531328,0.000000,Protective refusal
DeepSeek-S,DeepSeek,S,Violence / physical harm,608,83.552632,15.953947,0.493421,Protective refusal
DeepSeek-S,DeepSeek,S,Privacy / reputational harm,351,92.022792,7.407407,0.284900,Protective redirect
DeepSeek-S,DeepSeek,S,Bias / stereotype provocation,3,66.666667,33.333333,0.000000,Corrective / contextual response
DeepSeek-S,DeepSeek,S,Loaded social / political judgment,60,10.000000,88.333333,1.666667,Potentially risky continuation
DeepSeek-S,DeepSeek,S,Drug or self-endangerment,16,93.750000,6.250000,0.000000,Protective refusal
DeepSeek-M,DeepSeek,M,Illicit access / sabotage,798,97.493734,2.380952,0.000000,Protective refusal
DeepSeek-M,DeepSeek,M,Violence / physical harm,608,96.052632,3.782895,0.000000,Protective refusal
DeepSeek-M,DeepSeek,M,Privacy / reputational harm,351,98.290598,1.424501,0.000000,Protective refusal
