model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.310933,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.757505,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.761978,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.380448,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.490743,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.327261,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.107907,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.295110,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.568362,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.575520,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.280259,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.407794,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.272020,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.109810,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.178427,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.238918,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.245270,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.113240,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.206241,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.137634,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.071534,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.113824,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.176907,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.180486,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.085386,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.140998,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.094077,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.044431,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.141933,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.266302,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.269881,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.131005,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.193414,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.129021,0.04,0.13,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.053159,0.04,0.13,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.227649,0.08,0.16,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.353814,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.360971,0.08,0.16,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.170772,0.08,0.16,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.281995,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.188155,0.08,0.16,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
google/gemma-3-27b-it,Gemma,L/27B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.088862,0.08,0.16,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.275941,0.0509,0.335,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.642053,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.646607,0.0509,0.335,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.321422,0.0509,0.335,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.423888,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.282692,0.0509,0.335,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.2-3b-instruct,Llama,S/3B,2024-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,2182,761659,174560,0.097246,0.0509,0.335,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,8784,1721258,562176,0.062534,0.02,0.05,,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,3492,846863,1787904,0.106332,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,3492,936335,1787904,0.108122,0.02,0.05,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1782,309888,912384,0.051817,0.02,0.05,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.080982,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
meta-llama/llama-3.1-8b-instruct,Llama,M/8B,2024-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.054027,0.02,0.05,,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
