paper_model,openrouter_model_id,run_stage,run_status,log_path,paper_anchor,total_ccd_samples,valid_selection_count,valid_selection_rate,invalid_selection_count,dominant_option,dominant_option_share,effective_cluster_count,distribution_status,actual_input_tokens,actual_output_tokens,actual_reasoning_tokens,actual_cost_usd,completed_at
DeepSeek-chat-v3-0324,deepseek/deepseek-chat-v3-0324,smoke,success,results/paper-calibration-exact-20260705/logs/deepseek__deepseek-chat-v3-0324/smoke/2026-07-05T23-05-07-00-00_ccd-bench-selection_WqnUNQUBGRJgQqgH6XaJsd.eval,Nordic Europe 22.9%; Germanic Europe 11.9%; plural rationales 96.8%; Cramer's V 0.161,1,1,1.000000,0,option_1 (Anglo),1.000000,1.000000,ok,322,45,0,0.000118,2026-07-05T23:05:11.042797+00:00
DeepSeek-chat-v3-0324,deepseek/deepseek-chat-v3-0324,full,success,results/paper-calibration-exact-20260705/logs/deepseek__deepseek-chat-v3-0324/full/2026-07-05T23-07-11-00-00_ccd-bench-selection_F8o2h4GhHwXGdFzKuxX8wo.eval,Nordic Europe 22.9%; Germanic Europe 11.9%; plural rationales 96.8%; Cramer's V 0.161,2182,2108,0.966086,74,option_6 (Nordic Europe),0.232448,7.904934,ok,743867,132595,0,0.297864,2026-07-06T01:22:17.242018+00:00
Qwen2.5-72B-Instruct,qwen/qwen-2.5-72b-instruct,smoke,success,results/paper-calibration-exact-20260705/logs/qwen__qwen-2.5-72b-instruct/smoke/2026-07-06T06-01-37-00-00_ccd-bench-selection_PVzWPR9oHgXZVQGX3giede.eval,Nordic Europe 17.7%; Germanic Europe 9.4%; plural rationales 91.4%; Cramer's V 0.102,1,1,1.000000,0,option_1 (Anglo),1.000000,1.000000,ok,333,44,0,0.000137,2026-07-06T06:01:39.892880+00:00
Qwen2.5-72B-Instruct,qwen/qwen-2.5-72b-instruct,full,success,results/paper-calibration-exact-20260705/logs/qwen__qwen-2.5-72b-instruct/full/2026-07-06T06-02-06-00-00_ccd-bench-selection_RzjyX9czPy6kpYQDeAB6do.eval,Nordic Europe 17.7%; Germanic Europe 9.4%; plural rationales 91.4%; Cramer's V 0.102,2182,2182,1.000000,0,option_6 (Nordic Europe),0.211274,8.422117,ok,799098,98246,0,0.326974,2026-07-06T08:07:57.540284+00:00
OpenAI GPT-4.1,openai/gpt-4.1,smoke,success,results/paper-calibration-exact-20260705/logs/openai__gpt-4.1/smoke/2026-07-05T23-05-35-00-00_ccd-bench-selection_B8GpYGeJutAbVjvHHMyiwu.eval,Nordic Europe 21.5%; Germanic Europe 7.6%; plural rationales 94.7%; Cramer's V 0.096,1,1,1.000000,0,option_4 (Latin Europe),1.000000,1.000000,ok,321,56,0,0.001090,2026-07-05T23:05:39.113569+00:00
OpenAI GPT-4.1,openai/gpt-4.1,full,success,results/paper-calibration-exact-20260705/logs/openai__gpt-4.1/full/2026-07-06T01-22-24-00-00_ccd-bench-selection_Kdm2H8uH6K6XbcHLJTcLRA.eval,Nordic Europe 21.5%; Germanic Europe 7.6%; plural rationales 94.7%; Cramer's V 0.096,2182,2182,1.000000,0,option_6 (Nordic Europe),0.222731,8.298111,ok,776933,108131,0,2.418914,2026-07-06T02:03:56.888800+00:00
Command-R 08-2024,cohere/command-r-08-2024,smoke,success,results/paper-calibration-exact-20260705/logs/cohere__command-r-08-2024/smoke/2026-07-05T23-05-41-00-00_ccd-bench-selection_LQ9SJvKtcoWRHqqsjanXPx.eval,Nordic Europe 16.1%; Germanic Europe 10.2%; plural rationales 78.5%; Cramer's V 0.142,1,1,1.000000,0,option_9 (Germanic Europe),1.000000,1.000000,ok,341,37,0,0.000073,2026-07-05T23:05:42.556156+00:00
Command-R 08-2024,cohere/command-r-08-2024,full,success,results/paper-calibration-exact-20260705/logs/cohere__command-r-08-2024/full/2026-07-06T02-04-00-00-00_ccd-bench-selection_NUrNsGmFcsKMu8U6Jcdf7E.eval,Nordic Europe 16.1%; Germanic Europe 10.2%; plural rationales 78.5%; Cramer's V 0.142,2182,2182,1.000000,0,option_6 (Nordic Europe),0.226856,7.843516,ok,813287,88131,0,0.174872,2026-07-06T03:45:38.501047+00:00
Microsoft Phi-4,microsoft/phi-4,smoke,success,results/paper-calibration-exact-20260705/logs/microsoft__phi-4/smoke/2026-07-05T23-05-44-00-00_ccd-bench-selection_ZjmXKaqiBCiwnucetShaJH.eval,Nordic Europe 18.9%; Germanic Europe 7.8%; plural rationales 82.7%; Cramer's V 0.152,1,1,1.000000,0,option_1 (Anglo),1.000000,1.000000,ok,325,45,0,0.000029,2026-07-05T23:05:45.673420+00:00
Microsoft Phi-4,microsoft/phi-4,full,success,results/paper-calibration-exact-20260705/logs/microsoft__phi-4/full/2026-07-06T03-45-42-00-00_ccd-bench-selection_4m6Zv3x9v26SMvnmmewp27.eval,Nordic Europe 18.9%; Germanic Europe 7.8%; plural rationales 82.7%; Cramer's V 0.152,2182,2182,1.000000,0,option_6 (Nordic Europe),0.206691,8.511400,ok,781616,99298,0,0.068615,2026-07-06T04:19:24.254593+00:00
WizardLM-2-8x22B,microsoft/wizardlm-2-8x22b,smoke,success,results/paper-calibration-exact-20260705/logs/microsoft__wizardlm-2-8x22b/smoke/2026-07-05T23-05-47-00-00_ccd-bench-selection_f6Hqq7GkzgaSX24dFj9Suh.eval,Nordic Europe 22.0%; Germanic Europe 16.4%; plural rationales 88.8%; Cramer's V 0.111,1,1,1.000000,0,option_1 (Anglo),1.000000,1.000000,ok,349,60,0,0.000254,2026-07-05T23:05:53.216645+00:00
WizardLM-2-8x22B,microsoft/wizardlm-2-8x22b,full,cancelled,results/paper-calibration-exact-20260705/logs/microsoft__wizardlm-2-8x22b/full/2026-07-06T04-19-27-00-00_ccd-bench-selection_JowY64Ycx8nSAYehZ44XTX.eval,Nordic Europe 22.0%; Germanic Europe 16.4%; plural rationales 88.8%; Cramer's V 0.111,,,,,,,,,90916,13038,0,0.064451,2026-07-06T04:42:33.911076+00:00
Perplexity Sonar,perplexity/sonar,smoke,success,results/paper-calibration-exact-20260705/logs/perplexity__sonar/smoke/2026-07-05T23-05-55-00-00_ccd-bench-selection_kL6ykPDEhUQkJk6Ezy9srr.eval,Nordic Europe 21.8%; Germanic Europe 12.5%; plural rationales 92.9%; Cramer's V 0.127,1,1,1.000000,0,option_4 (Latin Europe),1.000000,1.000000,ok,319,51,0,0.000370,2026-07-05T23:05:57.981354+00:00
