model,language,samples,answered,accuracy
Llama 3 8B,Arabic,1464,1464,0.60724
Llama 3 8B,Chinese,1464,1464,0.613388
Llama 3 8B,English,1464,1464,0.656421
Llama 3 8B,Hindi,1464,1464,0.631831
Llama 3 8B,Russian,1464,1461,0.610656
Llama 3 8B,Spanish,1464,1463,0.671448
Llama 3.1 8B,Arabic,1464,1463,0.622268
Llama 3.1 8B,Chinese,1464,1461,0.632514
Llama 3.1 8B,English,1464,1463,0.650956
Llama 3.1 8B,Hindi,1464,1460,0.661885
Llama 3.1 8B,Russian,1464,1464,0.614754
Llama 3.1 8B,Spanish,1464,1409,0.650273
Llama 3.2 1B,Arabic,1464,785,0.276639
Llama 3.2 1B,Chinese,1464,923,0.342896
Llama 3.2 1B,English,1464,1461,0.596311
Llama 3.2 1B,Hindi,1464,463,0.166667
Llama 3.2 1B,Russian,1464,1440,0.478142
Llama 3.2 1B,Spanish,1464,1390,0.573087
Mistral Nemo,Arabic,1464,1464,0.612705
Mistral Nemo,Chinese,1464,1460,0.63388
Mistral Nemo,English,1464,1464,0.672131
Mistral Nemo,Hindi,1464,1460,0.657787
Mistral Nemo,Russian,1464,1464,0.631148
Mistral Nemo,Spanish,1464,1464,0.681011
Qwen2.5 7B,Arabic,1464,1464,0.634563
Qwen2.5 7B,Chinese,1464,1464,0.647541
Qwen2.5 7B,English,1464,1463,0.655055
Qwen2.5 7B,Hindi,1464,1464,0.606557
Qwen2.5 7B,Russian,1464,1464,0.646175
Qwen2.5 7B,Spanish,1464,1464,0.651639
