model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,actual_cost_usd,reasoning_tokens_actual,actual_cost_method
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000035,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/unimoral_action_prediction/2026-05-27T13-34-36-00-00_unimoral-action-prediction_TYTUejx5aYQZVPyjsFiyAk.eval,accuracy,1,1,258,9,0.000017,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000217,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/unimoral_moral_typology/2026-05-27T13-34-40-00-00_unimoral-moral-typology_PM2XgipR3xx8xov645nSai.eval,accuracy,1,1,300,11,0.000019,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000218,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/unimoral_factor_attribution/2026-05-27T13-34-44-00-00_unimoral-factor-attribution_9CTufTZKRiCN9VQ3QtbeBK.eval,accuracy,1,1,340,8,0.000020,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000213,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/unimoral_consequence_generation/2026-05-27T13-34-47-00-00_unimoral-consequence-generation_BJciGgq5SffNHxXGJFs2Nj.eval,mean,1,1,219,40,0.000027,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000013,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/value_prism_relevance/2026-05-27T13-34-51-00-00_value-prism-relevance_84U7BXZy5tmB6x9JSS3rRs.eval,accuracy,1,1,73,5,0.000006,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000016,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/value_prism_valence/2026-05-27T13-34-54-00-00_value-prism-valence_Q5oAoYpRnjoPTxP25doRzW.eval,accuracy,1,1,84,6,0.000007,0,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000048,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/qwen__qwen3-8b/ccd_bench_selection/2026-05-27T13-34-58-00-00_ccd-bench-selection_NbQjoWX3Tj7AhxEbkecYYW.eval,mean,1,1,333,56,0.000039,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000013,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/unimoral_action_prediction/2026-05-27T13-36-00-00-00_unimoral-action-prediction_avH4JtpCtdHH4hj4MwuTk2.eval,accuracy,1,1,233,8,0.000010,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000050,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/unimoral_moral_typology/2026-05-27T13-36-03-00-00_unimoral-moral-typology_Fyc5kMCVxi3ZPEfYBb7jFX.eval,accuracy,1,1,277,6,0.000012,0,input + output + reasoning tokens at OpenRouter metadata rates
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000052,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/google__gemma-3-4b-it/unimoral_factor_attribution/2026-05-27T13-36-06-00-00_unimoral-factor-attribution_3NyiKc5R7HcvswvWBHYpBm.eval,accuracy,1,1,301,2,0.000012,0,input + output + reasoning tokens at OpenRouter metadata rates
