line_label,family,size_slot,task,source_strategy,eval_count,completed_samples,expected_samples,accuracy,score_count,visible_nonempty,coverage,status
Qwen-S,Qwen,S,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Qwen-S,Qwen,S,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,0.999854,complete
Qwen-M,Qwen,M,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.664504,,,,complete
Qwen-M,Qwen,M,value_prism_relevance,latest_successful_eval,1,43680,43680,0.676534,,,,complete
Qwen-M,Qwen,M,value_prism_valence,latest_successful_eval,1,21840,21840,0.672894,,,,complete
Qwen-M,Qwen,M,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Qwen-M,Qwen,M,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Qwen-L,Qwen,L,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.665301,,,,complete
Qwen-L,Qwen,L,smid_moral_rating,latest_successful_eval,1,2941,2941,0.417885,,,,complete
Qwen-L,Qwen,L,smid_foundation_classification,latest_successful_eval,1,2941,2941,0.547773,,,,complete
Qwen-L,Qwen,L,value_prism_relevance,latest_successful_eval,1,43680,43680,0.671612,,,,complete
Qwen-L,Qwen,L,value_prism_valence,latest_successful_eval,1,21840,21840,0.634707,,,,complete
Qwen-L,Qwen,L,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Qwen-L,Qwen,L,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
MiniMax-S,MiniMax,S,unimoral_action_prediction,merged_saved_shards_by_sample_id,1,8784,8784,0.660861,8784,8784,,complete
MiniMax-S,MiniMax,S,smid_moral_rating,merged_saved_shards_by_sample_id,1,2941,2941,0.348521,2941,2941,,complete
MiniMax-S,MiniMax,S,smid_foundation_classification,merged_saved_shards_by_sample_id,1,2941,2941,0.515471,2941,2941,,complete
MiniMax-S,MiniMax,S,value_prism_relevance,merged_saved_shards_by_sample_id,16,43680,43680,0.724092,43674,43674,,complete
MiniMax-S,MiniMax,S,value_prism_valence,merged_saved_shards_by_sample_id,10,21840,21840,0.755793,21838,21838,,complete
MiniMax-S,MiniMax,S,ccd_bench_selection,merged_saved_shards_by_sample_id,1,2182,2182,,0,2182,1.000000,complete
MiniMax-S,MiniMax,S,denevil_fulcra_proxy_generation,merged_saved_shards_by_sample_id,9,20518,20518,,0,20516,0.999903,complete
MiniMax-M,MiniMax,M,unimoral_action_prediction,merged_saved_shards_by_sample_id,1,8784,8784,0.658698,8784,8784,,complete
MiniMax-M,MiniMax,M,value_prism_relevance,merged_saved_shards_by_sample_id,18,43680,43680,0.722734,43680,43680,,complete
MiniMax-M,MiniMax,M,value_prism_valence,merged_saved_shards_by_sample_id,15,21840,21840,0.756822,21840,21840,,complete
MiniMax-M,MiniMax,M,ccd_bench_selection,merged_saved_shards_by_sample_id,1,2182,2182,,0,2182,0.999542,complete
MiniMax-M,MiniMax,M,denevil_fulcra_proxy_generation,merged_saved_shards_by_sample_id,14,20518,20518,,0,20518,1.000000,complete
MiniMax-L,MiniMax,L,unimoral_action_prediction,merged_saved_shards_by_sample_id,1,8784,8784,0.660519,8784,8784,,complete
MiniMax-L,MiniMax,L,smid_moral_rating,merged_saved_shards_by_sample_id,3,2941,2941,0.109487,2941,2941,,complete
MiniMax-L,MiniMax,L,smid_foundation_classification,merged_saved_shards_by_sample_id,3,2941,2941,0.287657,2941,2941,,complete
MiniMax-L,MiniMax,L,value_prism_relevance,merged_saved_shards_by_sample_id,3,43680,43680,0.722734,43680,43680,,complete
MiniMax-L,MiniMax,L,value_prism_valence,merged_saved_shards_by_sample_id,2,21840,21840,0.759661,21840,21840,,complete
MiniMax-L,MiniMax,L,ccd_bench_selection,merged_saved_shards_by_sample_id,1,2182,2182,,0,2182,1.000000,complete
MiniMax-L,MiniMax,L,denevil_fulcra_proxy_generation,merged_saved_shards_by_sample_id,4,20518,20518,,0,20518,1.000000,complete
DeepSeek-S,DeepSeek,S,unimoral_action_prediction,merged_saved_shards_by_sample_id,3,8784,8784,0.660594,8783,8783,,complete
DeepSeek-S,DeepSeek,S,value_prism_relevance,merged_saved_shards_by_sample_id,10,43680,43680,0.649210,43670,43670,,complete
DeepSeek-S,DeepSeek,S,value_prism_valence,merged_saved_shards_by_sample_id,7,21840,21840,0.741186,21811,21811,,complete
DeepSeek-S,DeepSeek,S,ccd_bench_selection,merged_saved_shards_by_sample_id,2,2182,2182,,0,2180,0.999083,complete
DeepSeek-S,DeepSeek,S,denevil_fulcra_proxy_generation,merged_saved_shards_by_sample_id,7,20518,20518,,0,20474,0.997856,complete
DeepSeek-M,DeepSeek,M,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,0.997709,complete
DeepSeek-M,DeepSeek,M,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,0.999805,complete
DeepSeek-L,DeepSeek,L,unimoral_action_prediction,merged_saved_shards_by_sample_id,15,8784,8784,0.562550,8769,8769,,complete
DeepSeek-L,DeepSeek,L,value_prism_relevance,merged_saved_shards_by_sample_id,71,43680,43680,0.681162,43508,43508,,complete
DeepSeek-L,DeepSeek,L,value_prism_valence,merged_saved_shards_by_sample_id,56,21840,21840,0.680154,21748,21748,,complete
DeepSeek-L,DeepSeek,L,ccd_bench_selection,merged_saved_shards_by_sample_id,3,2182,2182,,0,2109,0.966544,complete
DeepSeek-L,DeepSeek,L,denevil_fulcra_proxy_generation,merged_saved_shards_by_sample_id,63,20518,20518,,0,20331,0.990886,complete
Llama-S,Llama,S,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.647996,,,,complete
Llama-S,Llama,S,smid_moral_rating,latest_successful_eval,1,2941,2941,0.099286,,,,complete
Llama-S,Llama,S,smid_foundation_classification,latest_successful_eval,1,2941,2941,0.333560,,,,complete
Llama-S,Llama,S,value_prism_relevance,latest_successful_eval,1,43680,43680,0.650847,,,,complete
Llama-S,Llama,S,value_prism_valence,latest_successful_eval,1,21840,21840,0.406319,,,,complete
Llama-S,Llama,S,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Llama-S,Llama,S,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Llama-M,Llama,M,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.669854,,,,complete
Llama-M,Llama,M,value_prism_relevance,latest_successful_eval,1,43680,43680,0.700572,,,,complete
Llama-M,Llama,M,value_prism_valence,latest_successful_eval,1,21840,21840,0.746703,,,,complete
Llama-M,Llama,M,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,0.976627,complete
Llama-M,Llama,M,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Llama-L,Llama,L,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.659836,,,,complete
Llama-L,Llama,L,smid_moral_rating,latest_successful_eval,1,2941,2941,0.281537,,,,complete
Llama-L,Llama,L,smid_foundation_classification,latest_successful_eval,1,2941,2941,0.490649,,,,complete
Llama-L,Llama,L,value_prism_relevance,latest_successful_eval,1,43680,43680,0.685737,,,,complete
Llama-L,Llama,L,value_prism_valence,latest_successful_eval,1,21840,21840,0.698901,,,,complete
Llama-L,Llama,L,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,0.922548,complete
Llama-L,Llama,L,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Gemma-S,Gemma,S,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Gemma-S,Gemma,S,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Gemma-M,Gemma,M,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.662568,,,,complete
Gemma-M,Gemma,M,smid_moral_rating,latest_successful_eval,1,2941,2941,0.234274,,,,complete
Gemma-M,Gemma,M,smid_foundation_classification,latest_successful_eval,1,2941,2941,0.493030,,,,complete
Gemma-M,Gemma,M,value_prism_relevance,latest_successful_eval,1,43680,43680,0.675618,,,,complete
Gemma-M,Gemma,M,value_prism_valence,latest_successful_eval,1,21840,21840,0.651694,,,,complete
Gemma-M,Gemma,M,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Gemma-M,Gemma,M,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
Gemma-L,Gemma,L,unimoral_action_prediction,latest_successful_eval,1,8784,8784,0.661088,,,,complete
Gemma-L,Gemma,L,smid_moral_rating,latest_successful_eval,1,2941,2941,0.334920,,,,complete
Gemma-L,Gemma,L,smid_foundation_classification,latest_successful_eval,1,2941,2941,0.489289,,,,complete
Gemma-L,Gemma,L,value_prism_relevance,latest_successful_eval,1,43680,43680,0.655472,,,,complete
Gemma-L,Gemma,L,value_prism_valence,latest_successful_eval,1,21840,21840,0.656502,,,,complete
Gemma-L,Gemma,L,ccd_bench_selection,latest_successful_eval,1,2182,2182,,,2182,1.000000,complete
Gemma-L,Gemma,L,denevil_fulcra_proxy_generation,latest_successful_eval,1,20518,20518,,,,1.000000,complete
