model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000718,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.004344,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.004378,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,20,3618,10240,0.004277,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,20,986,480,0.000241,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,20,1009,640,0.000306,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,20,7154,1600,0.000998,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,20,4130,1280,0.000689,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,20,4970,10240,0.003265,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,20,5650,10240,0.003319,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
