model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6,20,4130,1280,0.000718,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/unimoral_action_prediction/2026-05-27T14-13-14-00-00_unimoral-action-prediction_eeTNAEYFoetudXojsnioFk.eval,accuracy,20,20,5248,180,0,0.000334,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.55,20,4970,10240,0.004344,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/unimoral_moral_typology/2026-05-27T14-13-22-00-00_unimoral-moral-typology_TJBiPuSvYG6SkSc7w4Jb4U.eval,accuracy,20,20,6088,216,0,0.000391,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.004378,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/unimoral_factor_attribution/2026-05-27T14-13-30-00-00_unimoral-factor-attribution_Urh54GWvSG8SVADS2kPCrh.eval,accuracy,20,20,6888,178,0,0.000416,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.09808828596549678,20,3618,10240,0.004277,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/unimoral_consequence_generation/2026-05-27T14-13-38-00-00_unimoral-consequence-generation_Qs4gp3ibDr2VF2c9whhzWZ.eval,mean,20,20,4614,710,0,0.000515,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.65,20,986,480,0.000241,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/value_prism_relevance/2026-05-27T14-13-47-00-00_value-prism-relevance_D3xb2Xkaaj4aiigBK8Mg3y.eval,accuracy,20,20,1263,102,0,0.000104,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.7,20,1009,640,0.000306,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/value_prism_valence/2026-05-27T14-13-55-00-00_value-prism-valence_oKNJHYMjGaSvGqMqNKPE3y.eval,accuracy,20,20,1277,112,0,0.000109,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.000998,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-8b/ccd_bench_selection/2026-05-27T14-14-03-00-00_ccd-bench-selection_DA893pRkGX6sisf7kMGKMs.eval,mean,20,20,7501,1064,0,0.000801,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.35,20,4130,1280,0.000689,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/unimoral_action_prediction/2026-05-27T14-14-16-00-00_unimoral-action-prediction_M6AZi5HGTnV8L2eACuz8Y2.eval,accuracy,20,20,5270,180,28,0.000480,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.003265,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/unimoral_moral_typology/2026-05-27T14-14-23-00-00_unimoral-moral-typology_KEGX9Pw2rmHU5W7b4LQfD2.eval,accuracy,20,20,6107,216,30,0.000557,input + output + reasoning tokens at OpenRouter metadata rates
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,20,5650,10240,0.003319,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/qwen__qwen3-32b/unimoral_factor_attribution/2026-05-27T14-14-30-00-00_unimoral-factor-attribution_nxwmB6UWHkHHrJTY5E6s3f.eval,accuracy,20,20,6907,175,26,0.000609,input + output + reasoning tokens at OpenRouter metadata rates
