model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.64,100,20270,6400,0.003573,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/unimoral_action_prediction/2026-05-27T15-17-59-00-00_unimoral-action-prediction_EH5UbUbxYEQBde22gSKQ8o.eval,accuracy,100,100,25959,500,0,0.001498,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.59,100,24470,51200,0.021703,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/unimoral_moral_typology/2026-05-27T15-18-21-00-00_unimoral-moral-typology_MUffqaQ7FhfUSPsSzj3X7z.eval,accuracy,100,100,30159,689,0,0.001784,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.52,100,27870,51200,0.021873,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/unimoral_factor_attribution/2026-05-27T15-18-46-00-00_unimoral-factor-attribution_iXvoqgRwzGw89qjc9jVvm9.eval,accuracy,100,100,34159,486,0,0.001902,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.06052819158294159,100,18067,51200,0.021383,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/unimoral_consequence_generation/2026-05-27T15-19-09-00-00_unimoral-consequence-generation_AFLmDpJCfx9dvJSm529UgC.eval,mean,100,100,23044,3371,0,0.002501,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.68,100,3624,2400,0.001141,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/value_prism_relevance/2026-05-27T15-19-41-00-00_value-prism-relevance_jBucvWbaNqTxfhzuoGJfWL.eval,accuracy,100,100,5341,178,0,0.000338,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.68,100,4479,3200,0.001504,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/value_prism_valence/2026-05-27T15-20-04-00-00_value-prism-valence_JVC8UrR8tcatXccpfDZFQk.eval,accuracy,100,100,6191,154,0,0.000371,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,100,34768,8000,0.004938,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-8b/ccd_bench_selection/2026-05-27T15-20-34-00-00_ccd-bench-selection_4VdKwa8fnRUUkPCn3CRsZz.eval,mean,100,100,36874,4886,0,0.003798,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.29,100,20270,6400,0.003414,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/unimoral_action_prediction/2026-05-27T15-21-16-00-00_unimoral-action-prediction_ittZvYBLjrRYys83x8RDvE.eval,accuracy,100,100,25565,807,132,0.002308,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.63,100,24470,51200,0.016294,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/unimoral_moral_typology/2026-05-27T15-21-41-00-00_unimoral-moral-typology_CKXsEMetX82biZYxcqbGSQ.eval,accuracy,100,100,29777,966,124,0.002687,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.62,100,27870,51200,0.016566,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/unimoral_factor_attribution/2026-05-27T15-22-03-00-00_unimoral-factor-attribution_GQhCCFaprk9i8Tyo4SJb98.eval,accuracy,100,100,33945,825,140,0.002986,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.10259132741589695,100,18067,51200,0.015781,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/unimoral_consequence_generation/2026-05-27T15-22-31-00-00_unimoral-consequence-generation_fM2SEAeqJKEdF3xHzYQEJv.eval,mean,100,100,22733,4599,122,0.003141,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.69,100,3624,2400,0.000962,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/value_prism_relevance/2026-05-27T15-23-25-00-00_value-prism-relevance_6ta3WMatn7pMMPjVqELvzK.eval,accuracy,100,100,5161,378,120,0.000552,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.76,100,4479,3200,0.001254,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/value_prism_valence/2026-05-27T15-23-44-00-00_value-prism-valence_EEWyEiGqa2Wr6CyafX92y7.eval,accuracy,100,100,6020,401,114,0.000626,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,100,34768,8000,0.005021,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-32b/ccd_bench_selection/2026-05-27T15-24-12-00-00_ccd-bench-selection_ceT5pciCzFsbQ3MLDXSU8a.eval,mean,100,100,36621,5293,126,0.004447,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.65,100,20270,6400,0.002079,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/unimoral_action_prediction/2026-05-27T15-25-02-00-00_unimoral-action-prediction_gZPchVGsRvXbLrG2EHXhd4.eval,accuracy,100,100,26677,539,0,0.001948,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.69,100,24470,51200,0.006857,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/unimoral_moral_typology/2026-05-27T15-25-28-00-00_unimoral-moral-typology_WzvZWPvthvAdyutC7qN7Jg.eval,accuracy,100,100,31500,834,0,0.002320,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.56,100,27870,51200,0.007099,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/unimoral_factor_attribution/2026-05-27T15-26-01-00-00_unimoral-factor-attribution_P4iXFzxsuhmqZZAhAqtBpG.eval,accuracy,100,100,34018,781,0,0.002493,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.10823918556008592,100,18067,51200,0.006403,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/unimoral_consequence_generation/2026-05-27T15-26-45-00-00_unimoral-consequence-generation_EBS7vLmisjMgmBFVvzbTAv.eval,mean,100,100,23755,4759,0,0.002163,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.63,100,3624,2400,0.000497,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/value_prism_relevance/2026-05-27T15-27-48-00-00_value-prism-relevance_Wihs6pwNi6UCvwGS8ftxLW.eval,accuracy,100,100,5091,1315,0,0.000493,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.77,100,4479,3200,0.000638,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/value_prism_valence/2026-05-27T15-28-45-00-00_value-prism-valence_279DGYkmVfQ7G55rhcw4sy.eval,accuracy,100,100,5735,424,0,0.000450,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,0.86,100,34768,8000,0.003269,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/qwen__qwen3-235b-a22b-2507/ccd_bench_selection/2026-05-27T15-29-42-00-00_ccd-bench-selection_L5bXERcWdHSfvwjX7USPot.eval,mean,100,100,36038,7623,0,0.003321,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.63,100,20270,6400,0.001323,0.04,0.08,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/unimoral_action_prediction/2026-05-27T15-35-20-00-00_unimoral-action-prediction_jRtTLVGXbwU3sAYheBEXY9.eval,accuracy,100,100,23083,614,0,0.000972,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.65,100,24470,51200,0.005075,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/unimoral_moral_typology/2026-05-27T15-35-31-00-00_unimoral-moral-typology_6rA9wTtMyoejYfv6e65deS.eval,accuracy,100,100,27483,660,0,0.001152,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,100,27870,51200,0.005211,0.04,0.08,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/unimoral_factor_attribution/2026-05-27T15-35-42-00-00_unimoral-factor-attribution_ZStwVEbFYhaGgBetNfebLd.eval,accuracy,100,100,29883,323,0,0.001221,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.09292587065833781,100,18067,51200,0.004819,0.04,0.08,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/unimoral_consequence_generation/2026-05-27T15-35-52-00-00_unimoral-consequence-generation_GL8xMsLbF45ywwoi7bo5rS.eval,mean,100,100,20141,3030,0,0.001048,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_relevance,accuracy,0.69,100,3624,2400,0.000337,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/value_prism_relevance/2026-05-27T15-36-11-00-00_value-prism-relevance_NraxvjUU3Estaegk6YiJAe.eval,accuracy,100,100,4527,300,0,0.000205,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,ValuePrism,value_prism_valence,accuracy,0.68,100,4479,3200,0.000435,0.04,0.08,,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/value_prism_valence/2026-05-27T15-36-20-00-00_value-prism-valence_JjN2vCszknyjPv6s4eoWrp.eval,accuracy,100,100,5377,308,0,0.000240,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-4b-it,Gemma,S/4B,2025-Q1,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,100,34768,8000,0.002031,0.04,0.08,,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-4b-it/ccd_bench_selection/2026-05-27T15-36-30-00-00_ccd-bench-selection_czqvybPxs7sBkz7bnBK2KR.eval,mean,100,100,37910,5823,0,0.001982,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.64,100,20270,6400,0.001643,0.04,0.13,,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/unimoral_action_prediction/2026-05-27T15-36-59-00-00_unimoral-action-prediction_F8qwKox5YN2XzHDTV7KYUM.eval,accuracy,100,100,23083,600,0,0.001001,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.63,100,24470,51200,0.007635,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/unimoral_moral_typology/2026-05-27T15-37-17-00-00_unimoral-moral-typology_GzdeGtRxmZ5w9SH7kpJLDn.eval,accuracy,100,100,27483,923,0,0.001219,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6,100,27870,51200,0.007771,0.04,0.13,,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/unimoral_factor_attribution/2026-05-27T15-39-07-00-00_unimoral-factor-attribution_YNtVJqhKmVJNiVUk8puzAB.eval,accuracy,100,100,29883,694,0,0.001286,input + output + reasoning tokens at OpenRouter metadata rates,
google/gemma-3-12b-it,Gemma,M/12B,2025-Q1,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.05076889287110545,100,18067,51200,0.007379,0.04,0.13,,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-low-cost-moral-psych-s100/logs/google__gemma-3-12b-it/unimoral_consequence_generation/2026-05-27T15-39-21-00-00_unimoral-consequence-generation_QSiKCPEGFCYeg7LWfvq2F6.eval,mean,100,100,20141,2603,0,0.001144,input + output + reasoning tokens at OpenRouter metadata rates,
