dashboard_unit,cell_granularity,line_label,model_id,provider_route,family,size_slot,benchmark,subtask_or_rq,sample_set,aggregation_rule,readiness_tier,metric_layer,result_status,blocker_status,evidence_status,primary_metric,primary_metric_value,source_file,run_id_or_source_artifact,lower_level_limitations,interpretation
public_summary_model_line_x_benchmark,summary,Qwen-S,Qwen-S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,Qwen,S,UniMoral,RQ1 action_prediction,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.647427,unimoral-full-benchmark.csv,results/release/2026-04-19-option1/unimoral-full-benchmark.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-S,Qwen-S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,Qwen,S,SMID,moral_rating + foundation_classification,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.368072,smid-results.csv,results/release/2026-04-19-option1/smid-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-S,Qwen-S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,Qwen,S,Value Kaleidoscope,value_relevance + value_valence,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.682406,value-kaleidoscope-results.csv,results/release/2026-04-19-option1/value-kaleidoscope-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-S,Qwen-S,openrouter/qwen/qwen3-8b + openrouter/qwen/qwen3-vl-8b-instruct,Qwen,S,CCD-Bench,cultural_choice,full CCD-Bench selection set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M2 choice-distribution behavior,interpretable_comparable,,ok,choice_distribution,dominant=option_6 (Nordic Europe); effective_clusters=8.906089,ccd-choice-distribution.csv,results/release/2026-04-19-option1/ccd-choice-distribution.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness for CCD choice-distribution behavior; this is distributional evidence, not cultural-choice accuracy."
public_summary_model_line_x_benchmark,summary,Qwen-S,Qwen-S,openrouter/qwen/qwen3-8b,Qwen,S,Denevil,FULCRA proxy generation,current release FULCRA proxy sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,,M3 proxy behavior/provenance,proxy_only_available,proxy_only_not_paper_faithful,Proxy complete,proxy_behavior_mix,see denevil-behavior-summary.csv,denevil-behavior-summary.csv,results/release/2026-04-19-option1/denevil-behavior-summary.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"No Tier 3 readiness tier is assigned because this is proxy-only FULCRA behavior evidence, not paper-faithful MoralPrompt scoring."
public_summary_model_line_x_benchmark,summary,Qwen-M,Qwen-M,text: openrouter/qwen/qwen3-14b,Qwen,M,UniMoral,RQ1 action_prediction,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.664504,unimoral-full-benchmark.csv,results/release/2026-04-19-option1/unimoral-full-benchmark.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-M,Qwen-M,text: openrouter/qwen/qwen3-14b,Qwen,M,SMID,moral_rating + foundation_classification,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,,M1 benchmark-faithful accuracy,blocked,route_gap,route_gap,accuracy,,smid-results.csv,results/release/2026-04-19-option1/smid-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,No result-readiness tier is assigned because the required accuracy result cell is blocked or not run.
public_summary_model_line_x_benchmark,summary,Qwen-M,Qwen-M,text: openrouter/qwen/qwen3-14b,Qwen,M,Value Kaleidoscope,value_relevance + value_valence,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.674714,value-kaleidoscope-results.csv,results/release/2026-04-19-option1/value-kaleidoscope-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-M,Qwen-M,text: openrouter/qwen/qwen3-14b,Qwen,M,CCD-Bench,cultural_choice,full CCD-Bench selection set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M2 choice-distribution behavior,interpretable_comparable,,ok,choice_distribution,dominant=option_6 (Nordic Europe); effective_clusters=8.291492,ccd-choice-distribution.csv,results/release/2026-04-19-option1/ccd-choice-distribution.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness for CCD choice-distribution behavior; this is distributional evidence, not cultural-choice accuracy."
public_summary_model_line_x_benchmark,summary,Qwen-M,Qwen-M,openrouter/qwen/qwen3-14b,Qwen,M,Denevil,FULCRA proxy generation,current release FULCRA proxy sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,,M3 proxy behavior/provenance,proxy_only_available,proxy_only_not_paper_faithful,Proxy complete,proxy_behavior_mix,see denevil-behavior-summary.csv,denevil-behavior-summary.csv,results/release/2026-04-19-option1/denevil-behavior-summary.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"No Tier 3 readiness tier is assigned because this is proxy-only FULCRA behavior evidence, not paper-faithful MoralPrompt scoring."
public_summary_model_line_x_benchmark,summary,Qwen-L,Qwen-L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,Qwen,L,UniMoral,RQ1 action_prediction,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.665301,unimoral-full-benchmark.csv,results/release/2026-04-19-option1/unimoral-full-benchmark.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-L,Qwen-L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,Qwen,L,SMID,moral_rating + foundation_classification,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.482829,smid-results.csv,results/release/2026-04-19-option1/smid-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-L,Qwen-L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,Qwen,L,Value Kaleidoscope,value_relevance + value_valence,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.653159,value-kaleidoscope-results.csv,results/release/2026-04-19-option1/value-kaleidoscope-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,Qwen-L,Qwen-L,text: openrouter/qwen/qwen3-32b; vision: openrouter/qwen/qwen2.5-vl-72b-instruct,Qwen,L,CCD-Bench,cultural_choice,full CCD-Bench selection set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M2 choice-distribution behavior,interpretable_comparable,,ok,choice_distribution,dominant=option_6 (Nordic Europe); effective_clusters=7.967422,ccd-choice-distribution.csv,results/release/2026-04-19-option1/ccd-choice-distribution.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness for CCD choice-distribution behavior; this is distributional evidence, not cultural-choice accuracy."
public_summary_model_line_x_benchmark,summary,Qwen-L,Qwen-L,openrouter/qwen/qwen3-32b,Qwen,L,Denevil,FULCRA proxy generation,current release FULCRA proxy sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,,M3 proxy behavior/provenance,proxy_only_available,proxy_only_not_paper_faithful,Proxy complete,proxy_behavior_mix,see denevil-behavior-summary.csv,denevil-behavior-summary.csv,results/release/2026-04-19-option1/denevil-behavior-summary.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"No Tier 3 readiness tier is assigned because this is proxy-only FULCRA behavior evidence, not paper-faithful MoralPrompt scoring."
public_summary_model_line_x_benchmark,summary,MiniMax-S,MiniMax-S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,MiniMax,S,UniMoral,RQ1 action_prediction,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.660861,unimoral-full-benchmark.csv,results/release/2026-04-19-option1/unimoral-full-benchmark.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,MiniMax-S,MiniMax-S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,MiniMax,S,SMID,moral_rating + foundation_classification,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.431996,smid-results.csv,results/release/2026-04-19-option1/smid-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,MiniMax-S,MiniMax-S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,MiniMax,S,Value Kaleidoscope,value_relevance + value_valence,current release selected sample set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M1 benchmark-faithful accuracy,interpretable_comparable,,completed_valid_interpretable,accuracy,0.739942,value-kaleidoscope-results.csv,results/release/2026-04-19-option1/value-kaleidoscope-results.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness: completed, valid, and interpretable for comparison within this benchmark and metric layer."
public_summary_model_line_x_benchmark,summary,MiniMax-S,MiniMax-S,text: minimax-m2.1 via direct MiniMax API; vision: minimax-01 recovery route,MiniMax,S,CCD-Bench,cultural_choice,full CCD-Bench selection set,summary tier is the minimum readiness of the current-release required result cells; blocked/not_run/data_gap cells receive no tier,Tier 3,M2 choice-distribution behavior,interpretable_comparable,,ok,choice_distribution,dominant=option_6 (Nordic Europe); effective_clusters=9.203725,ccd-choice-distribution.csv,results/release/2026-04-19-option1/ccd-choice-distribution.csv,Public summary row; model_id is the public model line when a benchmark summary aggregates text/vision routes or source artifacts.,"Tier 3 result-readiness for CCD choice-distribution behavior; this is distributional evidence, not cultural-choice accuracy."
