model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000035,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000217,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000218,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000213,0.05,0.4,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000013,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000016,0.05,0.4,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000048,0.05,0.4,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000033,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,,1,235,512,0.000162,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,,1,269,512,0.000165,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,,1,165,512,0.000157,0.08,0.28,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,1,59,24,0.000011,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,1,70,32,0.000015,0.08,0.28,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,planned,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,,1,314,80,0.000048,0.08,0.28,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",planned,
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,,1,193,64,0.000020,0.071,0.1,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,planned,
