benchmark,paper_model,repo_model_or_line,model_match_class,evidence_state,fresh_rerun,task_scope,paper_metric,paper_value,repo_metric,repo_value,valid_n,total_n,can_plot_numeric,comparison_boundary,source_artifacts
UniMoral,Llama-3.1-8B Instruct,fresh exact UniMoral rerun,exact_same_model,current_fresh_verified,yes,RQ1-RQ4 fresh exact rerun; RQ4 has live METEOR and offline BERTScore F1,Paper weighted F1 / METEOR / BERTScore,RQ1 66.17; RQ2 57.01; RQ3 38.59; RQ4 METEOR 19.08 and BERTScore 87.44,Accuracy for RQ1-RQ3; live METEOR and offline BERTScore F1 for RQ4,RQ1 0.621926; RQ2 0.602234; RQ3 0.594788; RQ4 METEOR 0.121226; RQ4 BERTScore F1 0.655539,17550,17550,no_metric_scale_differs,"Exact same model, but paper and repo metric scales differ; compare direction and task coverage, not a one-number delta.",results/paper-calibration-exact-20260706-unimoral-llama31/calibration-summary.csv; ACL paper Tables 4-7
CCD-Bench,Mistral Nemo,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.190,Nordic Europe dominant-cluster share,0.255729,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Llama-3.3-70B-Instruct,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.197,Nordic Europe dominant-cluster share,0.208066,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Llama-4-Maverick-17B-128E-Instruct,Llama-L current release row,exact_same_model,current_release_verified,no,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.211,Nordic Europe dominant-cluster share,0.23546945,2013,2182,yes,"CCD is distributional behavior, not accuracy; current row has valid-choice gaps.",results/release/2026-04-19-option1/ccd-choice-distribution.csv; CCD-Bench reference model_summary_comparison.csv; OpenRouter model metadata
CCD-Bench,DeepSeek-chat-v3-0324,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.229,Nordic Europe dominant-cluster share,0.232448,2108,2182,yes,"CCD is distributional behavior, not accuracy; fresh rerun has valid-choice gaps.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Qwen2.5-72B-Instruct,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.177,Nordic Europe dominant-cluster share,0.211274,2182,2182,yes,"CCD is distributional behavior, not accuracy; routed rerun excluded Novita after provider endpoint failure.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,OpenAI GPT-4.1,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.215,Nordic Europe dominant-cluster share,0.222731,2182,2182,yes,"CCD is distributional behavior, not accuracy; this is an exact paper-model CCD row, not an OpenAI family-size sweep.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Command-R 08-2024,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.161,Nordic Europe dominant-cluster share,0.226856,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Microsoft Phi-4,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.189,Nordic Europe dominant-cluster share,0.206691,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,WizardLM-2-8x22B,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.220,Nordic Europe dominant-cluster share,0.236480,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Perplexity Sonar,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.218,Nordic Europe dominant-cluster share,0.143446,2182,2182,yes,"CCD is distributional behavior, not accuracy; this row is notably more diffuse than the paper anchor.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
CCD-Bench,Claude 4 Sonnet,fresh exact CCD rerun,exact_same_model,current_fresh_verified,yes,Full CCD-Bench choice distribution,Nordic Europe top-cluster share,0.306,Nordic Europe dominant-cluster share,0.302475,2182,2182,yes,"CCD is distributional behavior, not accuracy.",results/paper-calibration-exact-20260705/calibration-summary.csv; CCD-Bench reference model_summary_comparison.csv
